사업부구분(중국어),대분류(중국어),중분류(중국어),소분류(중국어),사업부구분,대분류,중분류,소분류, 26년1월 , 26년2월 , 26년3월 , 26년4월 , 26년5월 , 26년6월 , 26년7월 , 26년8월 , 26년9월 , 26년10월 , 26년11월 , 26년12월 
共同,IT手续费,Office Hardware&Construction,Office Hardware Upgrade,공통,IT수수료,네트워크&ASDL설치,Office Hardware Upgrade,,,,,,,,,,,,
共同,IT手续费,Office Software,Adobe(PS/AI) license,공통,IT수수료,사무실 소프트웨어,Adobe(PS/AI) license,,,,,,,,,,,,
共同,IT手续费,Office Software,MS office,공통,IT수수료,사무실 소프트웨어,MS office,17335,,,,,,,,,,,
共同,IT手续费,Office Software,POLYCOM视频专线,공통,IT수수료,사무실 소프트웨어,POLYCOM 영상통화,,,,,,,,,,,,
共同,IT手续费,Office Software,VPN,공통,IT수수료,사무실 소프트웨어,VPN,10377,,,,,,,,,,,
共同,IT手续费,Office Software,ADSL 使用费,공통,IT수수료,사무실 소프트웨어,ADSL 사용료,,,,,,,,,,,,
共同,IT手续费,Office Software,ZHIXINGLI APP,공통,IT수수료,사무실 소프트웨어,ZHIXINGLI APP,,,,,,,,,,,,
共同,IT手续费,API,,공통,IT수수료,API (인터페이스 관련),,,,,,,,,,,,,
共同,IT手续费,OA,,공통,IT수수료,OA(AI기능/자동화도입),,,,,,,,,,,,,
共同,IT手续费,E-Commerce,DX 竞品数据购买,공통,IT수수료,온라인플랫폼 서비스 비용,DX 경쟁상품 데이터 구매,,,,,,,,,,,,
共同,IT手续费,AI & 识别系统,,공통,IT수수료,AI식별시스템,,56476,,,,,,,,,,,
共同,IT手续费,Snowflake,,공통,IT수수료,Snowflake,,,,,,,,,,,,,
共同,IT手续费,搬仓相关 interface,,공통,IT수수료,창고이전 후 인터페이스,,,,,,,,,,,,,
共同,IT手续费,维保(New),,공통,IT수수료,유지보수 (New),,,,,,,,,,,,,
共同,IT手续费,RMS,,공통,IT수수료,RMS 반품 개발 시스템,,,,,,,,,,,,,
共同,IT手续费,数据收集许可,,공통,IT수수료,데이터 수집 허가비용,,,,,,,,,,,,,
共同,IT手续费,混合云架构优化,,공통,IT수수료,하이브리드 클라우드 아키텍처 최적화,,,,,,,,,,,,,
共同,IT手续费,信息安全审计，备案合规，异地备份（云安全巡检）,,공통,IT수수료,"정보보안 감사, 원격 백업서비스",,,,,,,,,,,,,
共同,IT手续费,E-Commerce,数据采买&运营,공통,IT수수료,온라인플랫폼 서비스 비용,데이터 구매&운영,26113,,,,,,,,,,,
共同,IT手续费,E-Commerce,潮流数据采买,공통,IT수수료,온라인플랫폼 서비스 비용,트랜드 데이터 구매,5931,,,,,,,,,,,
共同,IT手续费,E-Commerce,CRM(New Provider),공통,IT수수료,온라인플랫폼 서비스 비용,CRM(New Provider),82092,,,,,,,,,,,
共同,commission,盘点服务费,,공통,지급수수료,재고실사 서비스비용,,,,,,,,,,,,,
共同,commission,高尔夫会员更换费,,공통,지급수수료,골프 회원 연회비,,,,,,,,,,,,,
共同,commission,零售培训软件服务,,공통,지급수수료,리테일 교육 소프트웨어,,17790,,,,,,,,,,,
共同,commission,保险服务,D&O,공통,지급수수료,보험비,임원배상책임보험,9446,,,,,,,,,,,
共同,commission,保险服务,员工商业保险,공통,지급수수료,보험비,임직원상업보험,,,,,,,,,,,,
共同,commission,市场监测服务费,,공통,지급수수료,매장 DP점검 외주용역,,,,,,,,,,,,,
